age,job,marital,deposit
59,admin.,married,yes
56,admin.,married,yes
41,technician,married,yes
55,services,married,yes
54,admin.,married,yes
42,management,single,yes
56,management,married,yes
60,retired,divorced,yes
37,technician,married,yes
28,services,single,yes
38,admin.,single,yes
30,blue-collar,married,yes
29,management,married,yes
46,blue-collar,single,yes
31,technician,single,yes
35,management,divorced,yes
32,blue-collar,single,yes
49,services,married,yes
41,admin.,married,yes
49,admin.,divorced,yes
28,admin.,divorced,yes
43,management,single,yes
43,management,divorced,yes
43,blue-collar,married,yes
37,unemployed,single,yes
35,blue-collar,single,yes
31,technician,single,yes
43,blue-collar,single,yes
31,admin.,married,yes
28,blue-collar,single,yes
32,blue-collar,married,yes
60,technician,married,yes
26,blue-collar,single,yes
40,blue-collar,married,yes
33,blue-collar,divorced,yes
32,management,single,yes
35,blue-collar,married,yes
33,management,divorced,yes
38,management,married,yes
23,entrepreneur,single,yes
60,blue-collar,married,yes
48,management,married,yes
45,entrepreneur,divorced,yes
36,blue-collar,married,yes
52,management,married,yes
35,blue-collar,divorced,yes
43,technician,married,yes
52,housemaid,married,yes
53,technician,divorced,yes
48,blue-collar,divorced,yes
41,blue-collar,single,yes
39,management,divorced,yes
59,retired,married,yes
41,blue-collar,married,yes
48,blue-collar,married,yes
40,admin.,married,yes
48,blue-collar,married,yes
60,retired,married,yes
40,technician,single,yes
57,technician,married,yes
51,blue-collar,married,yes
41,blue-collar,divorced,yes
41,blue-collar,married,yes
52,blue-collar,divorced,yes
59,blue-collar,married,yes
44,blue-collar,married,yes
49,unknown,married,yes
40,services,married,yes
41,admin.,married,yes
44,technician,married,yes
60,services,single,yes
29,management,married,yes
41,retired,divorced,yes
41,blue-collar,married,yes
42,technician,single,yes
36,services,single,yes
39,technician,married,yes
31,self-employed,single,yes
26,blue-collar,married,yes
31,blue-collar,married,yes
29,admin.,single,yes
37,services,divorced,yes
33,blue-collar,single,yes
24,technician,single,yes
50,admin.,divorced,yes
27,technician,single,yes
54,management,single,yes
30,technician,single,yes
34,blue-collar,married,yes
37,management,single,yes
41,admin.,single,yes
47,blue-collar,married,yes
31,admin.,married,yes
31,blue-collar,married,yes
43,services,divorced,yes
37,management,divorced,yes
30,technician,single,yes
41,technician,married,yes
36,blue-collar,married,yes
35,blue-collar,divorced,yes
29,services,single,yes
35,blue-collar,married,yes
31,blue-collar,married,yes
35,services,married,yes
34,technician,single,yes
31,admin.,single,yes
44,technician,divorced,yes
36,blue-collar,married,yes
35,blue-collar,married,yes
41,blue-collar,married,yes
31,blue-collar,single,yes
34,blue-collar,married,yes
32,technician,married,yes
36,management,married,yes
30,blue-collar,single,yes
37,technician,single,yes
36,blue-collar,married,yes
31,management,single,yes
27,technician,married,yes
34,retired,married,yes
30,technician,single,yes
32,technician,single,yes
37,technician,single,yes
32,blue-collar,married,yes
33,blue-collar,married,yes
35,blue-collar,married,yes
35,self-employed,divorced,yes
30,blue-collar,single,yes
45,blue-collar,divorced,yes
45,admin.,married,yes
33,blue-collar,married,yes
44,management,divorced,yes
40,blue-collar,married,yes
31,blue-collar,married,yes
30,technician,married,yes
44,technician,divorced,yes
34,services,married,yes
37,blue-collar,married,yes
28,self-employed,single,yes
32,admin.,single,yes
37,blue-collar,divorced,yes
34,management,married,yes
38,admin.,divorced,yes
28,admin.,single,yes
31,management,divorced,yes
59,services,married,yes
24,blue-collar,married,yes
26,services,single,yes
59,retired,single,yes
30,entrepreneur,single,yes
37,admin.,married,yes
30,admin.,single,yes
25,blue-collar,married,yes
44,services,divorced,yes
29,management,married,yes
26,management,single,yes
26,technician,single,yes
27,services,single,yes
25,self-employed,single,yes
28,management,married,yes
23,services,single,yes
34,management,single,yes
28,student,single,yes
51,entrepreneur,married,yes
35,blue-collar,married,yes
35,admin.,married,yes
56,blue-collar,married,yes
45,unemployed,divorced,yes
60,blue-collar,divorced,yes
56,technician,married,yes
27,management,single,yes
30,admin.,married,yes
45,blue-collar,divorced,yes
29,blue-collar,single,yes
38,management,divorced,yes
30,blue-collar,married,yes
44,blue-collar,single,yes
36,management,single,yes
38,technician,married,yes
36,blue-collar,single,yes
37,management,divorced,yes
35,management,single,yes
38,admin.,divorced,yes
40,services,married,yes
42,unemployed,divorced,yes
46,management,divorced,yes
35,technician,divorced,yes
34,technician,divorced,yes
32,services,married,yes
50,unemployed,married,yes
35,blue-collar,married,yes
36,technician,single,yes
53,blue-collar,divorced,yes
46,management,single,yes
26,management,single,yes
45,technician,single,yes
31,unemployed,divorced,yes
29,management,single,yes
53,entrepreneur,single,yes
27,blue-collar,married,yes
39,management,married,yes
36,services,married,yes
41,blue-collar,married,yes
36,services,married,yes
32,technician,married,yes
35,services,married,yes
36,management,single,yes
35,management,married,yes
30,blue-collar,single,yes
42,blue-collar,married,yes
42,technician,single,yes
32,blue-collar,married,yes
29,blue-collar,single,yes
44,management,divorced,yes
32,technician,single,yes
31,unemployed,married,yes
40,self-employed,married,yes
43,entrepreneur,married,yes
27,management,single,yes
37,services,single,yes
23,services,single,yes
25,management,married,yes
26,blue-collar,single,yes
47,blue-collar,divorced,yes
35,admin.,married,yes
32,technician,single,yes
45,management,divorced,yes
30,admin.,divorced,yes
29,services,single,yes
38,blue-collar,married,yes
23,blue-collar,single,yes
27,management,single,yes
27,management,single,yes
29,services,single,yes
30,self-employed,married,yes
36,blue-collar,married,yes
35,admin.,divorced,yes
36,blue-collar,married,yes
59,retired,divorced,yes
47,entrepreneur,married,yes
58,entrepreneur,married,yes
37,management,single,yes
46,admin.,single,yes
43,blue-collar,single,yes
27,management,single,yes
38,services,divorced,yes
53,housemaid,married,yes
47,blue-collar,married,yes
56,housemaid,divorced,yes
41,housemaid,married,yes
29,self-employed,married,yes
50,technician,married,yes
45,blue-collar,divorced,yes
35,blue-collar,married,yes
26,technician,single,yes
26,admin.,married,yes
37,blue-collar,married,yes
30,admin.,single,yes
38,management,single,yes
37,services,divorced,yes
53,technician,married,yes
29,blue-collar,single,yes
35,management,single,yes
28,blue-collar,married,yes
55,blue-collar,married,yes
49,management,divorced,yes
50,services,married,yes
43,management,single,yes
58,self-employed,divorced,yes
38,technician,married,yes
48,blue-collar,divorced,yes
59,management,married,yes
58,blue-collar,married,yes
36,self-employed,single,yes
42,entrepreneur,married,yes
41,admin.,single,yes
42,admin.,married,yes
39,management,married,yes
57,housemaid,married,yes
52,retired,married,yes
59,retired,married,yes
56,blue-collar,married,yes
49,management,married,yes
35,blue-collar,divorced,yes
36,unemployed,married,yes
40,admin.,single,yes
55,blue-collar,married,yes
58,admin.,married,yes
39,self-employed,married,yes
47,housemaid,single,yes
40,management,married,yes
35,blue-collar,married,yes
48,blue-collar,married,yes
48,management,divorced,yes
24,blue-collar,single,yes
49,blue-collar,married,yes
36,blue-collar,married,yes
52,retired,divorced,yes
42,entrepreneur,single,yes
36,services,married,yes
36,blue-collar,divorced,yes
48,unemployed,single,yes
51,management,single,yes
51,blue-collar,married,yes
46,technician,married,yes
37,management,married,yes
36,entrepreneur,married,yes
47,management,married,yes
40,technician,divorced,yes
38,student,single,yes
40,management,married,yes
39,blue-collar,married,yes
60,management,married,yes
39,self-employed,single,yes
51,services,divorced,yes
27,admin.,married,yes
41,management,single,yes
42,blue-collar,single,yes
41,entrepreneur,married,yes
33,technician,married,yes
46,admin.,married,yes
31,blue-collar,married,yes
41,blue-collar,married,yes
41,blue-collar,divorced,yes
55,retired,divorced,yes
53,technician,married,yes
55,housemaid,married,yes
39,services,married,yes
40,entrepreneur,married,yes
59,retired,married,yes
42,blue-collar,single,yes
41,blue-collar,married,yes
27,blue-collar,married,yes
25,blue-collar,single,yes
43,unemployed,married,yes
44,services,married,yes
26,blue-collar,single,yes
52,retired,married,yes
54,services,married,yes
56,management,married,yes
57,management,married,yes
29,blue-collar,single,yes
47,technician,married,yes
57,management,married,yes
40,blue-collar,married,yes
46,services,divorced,yes
43,blue-collar,single,yes
45,management,married,yes
24,management,married,yes
40,blue-collar,married,yes
38,services,divorced,yes
36,unemployed,married,yes
27,blue-collar,single,yes
